qubits,n_runs,cobyla_final_mean,cobyla_final_std,qnspsa_final_mean,qnspsa_final_std,cobyla_evals_mean,qnspsa_evals_mean,cobyla_wins,qnspsa_wins
4,5,-0.9999303305055222,0.00013903991816421893,-0.9510067046919272,0.012498647356641869,215.2,300.0,5,0
8,5,-0.9996692127406901,0.0003183928677000722,-0.9675833819090457,0.01057719572659498,552.2,711.0,5,0
12,5,-0.9997718662230028,0.00014900574181138198,-0.8834239621319793,0.06694993447771778,1378.6,1284.0,5,0
16,5,-0.999757489417823,0.0003512058430134686,-0.9454986271766943,0.021284394623097,1607.8,1692.0,5,0
20,5,-0.9998873919907643,0.00012735106251787303,-0.972343448178362,0.008073546345322374,2119.8,2100.0,5,0
