phase,mode,architecture,seed,qubits,optimizer,final,best,evals
phase2,ideal,qcnn,30,16,qnspsa,-0.9939224216263292,-1.0000000000000102,1161
phase2,ideal,qcnn,30,4,cobyla,-0.9999999984850341,-0.9999999999999989,200
phase2,ideal,qcnn,30,4,qnspsa,-0.9911262725598513,-0.9999999937639542,240
phase2,ideal,qcnn,30,8,cobyla,-0.9999999973612125,-1.0000000000000002,454
phase2,ideal,qcnn,30,8,qnspsa,-0.9927784999034647,-1.0000000000000013,537
phase2,ideal,qcnn,40,16,cobyla,-0.9999999978820232,-1.0000000000000062,1219
phase2,ideal,qcnn,40,16,qnspsa,-0.9939224231402827,-1.0000000000000095,1161
phase2,ideal,qcnn,40,4,cobyla,-0.9999999995256559,-0.999999999797244,161
phase2,ideal,qcnn,40,4,qnspsa,-0.9923159632318719,-0.9999559855199673,240
phase2,ideal,qcnn,40,8,cobyla,-0.9999999971665885,-1.0000000000000007,486
phase2,ideal,qcnn,40,8,qnspsa,-0.9927784984597434,-1.0000000000000007,537
phase2,ideal,qcnn,50,16,cobyla,-0.999999997454064,-1.0000000000000036,1202
phase2,ideal,qcnn,50,16,qnspsa,-0.9939224236527783,-1.0000000000000098,1161
phase2,ideal,qcnn,50,4,cobyla,-0.9999999970798689,-0.9999999999999996,167
phase2,ideal,qcnn,50,4,qnspsa,-0.990899184464775,-0.9999992761295036,240
phase2,ideal,qcnn,50,8,cobyla,-0.9999999955326585,-1.0,474
phase2,ideal,qcnn,50,8,qnspsa,-0.9927785010653623,-1.000000000000001,537
phase2,shot-noise,qcnn,10,16,cobyla,-1.0,-1.0,560
phase2,shot-noise,qcnn,10,16,qnspsa,-0.9797979797979798,-1.0,1161
phase2,shot-noise,qcnn,10,4,cobyla,-1.0,-1.0,146
phase2,shot-noise,qcnn,10,4,qnspsa,-1.0,-1.0,240
phase2,shot-noise,qcnn,10,8,cobyla,-1.0,-1.0,394
phase2,shot-noise,qcnn,10,8,qnspsa,-1.0,-1.0,537
phase2,shot-noise,qcnn,20,16,cobyla,0.47474747474747475,0.15151515151515152,759
phase2,shot-noise,qcnn,20,16,qnspsa,-1.0,-1.0,1161
phase2,shot-noise,qcnn,20,4,cobyla,-1.0,-1.0,128
phase2,shot-noise,qcnn,20,4,qnspsa,-0.9797979797979798,-1.0,240
phase2,shot-noise,qcnn,20,8,cobyla,-1.0,-1.0,418
phase2,shot-noise,qcnn,20,8,qnspsa,-1.0,-1.0,537
phase2,shot-noise,qcnn,30,16,cobyla,-0.9393939393939394,-1.0,963
phase2,shot-noise,qcnn,30,16,qnspsa,-1.0,-1.0,1161
phase2,shot-noise,qcnn,30,4,cobyla,-1.0,-1.0,168
phase2,shot-noise,qcnn,30,4,qnspsa,-0.9797979797979798,-1.0,240
phase2,shot-noise,qcnn,30,8,cobyla,0.6363636363636364,0.3939393939393939,354
phase2,shot-noise,qcnn,30,8,qnspsa,-1.0,-1.0,537
phase2,shot-noise,qcnn,40,16,cobyla,-1.0,-1.0,554
phase2,shot-noise,qcnn,40,16,qnspsa,-1.0,-1.0,1161
phase2,shot-noise,qcnn,40,4,cobyla,-0.9595959595959596,-1.0,161
phase2,shot-noise,qcnn,40,4,qnspsa,-1.0,-1.0,240
phase2,shot-noise,qcnn,40,8,cobyla,-0.9595959595959596,-1.0,407
phase2,shot-noise,qcnn,40,8,qnspsa,-0.9797979797979798,-1.0,537
phase2,shot-noise,qcnn,50,16,cobyla,0.7373737373737373,0.3939393939393939,821
phase2,shot-noise,qcnn,50,16,qnspsa,-1.0,-1.0,1161
phase2,shot-noise,qcnn,50,4,cobyla,-0.8787878787878788,-1.0,131
phase2,shot-noise,qcnn,50,4,qnspsa,-1.0,-1.0,240
phase2,shot-noise,qcnn,50,8,cobyla,-0.9797979797979798,-1.0,404
phase2,shot-noise,qcnn,50,8,qnspsa,-0.9797979797979798,-1.0,537
phase2,ideal,resqnet,10,16,cobyla,-0.9999999963297729,-0.999999997268282,8400
phase2,ideal,resqnet,10,16,qnspsa,-0.755272413133804,-0.8885778421748916,2346
phase2,ideal,resqnet,10,4,cobyla,-0.9999999923048021,-0.9999999954875468,1348
phase2,ideal,resqnet,10,4,qnspsa,-0.645083260906144,-0.8438792769652668,628
phase2,ideal,resqnet,10,8,cobyla,-0.9999995699691828,-0.9999995709900316,4200
phase2,ideal,resqnet,10,8,qnspsa,-0.5950203875728322,-0.7241907678765634,1200
phase2,ideal,resqnet,20,16,cobyla,-0.9999891617918392,-0.9999891780552628,8400
phase2,ideal,resqnet,20,16,qnspsa,-0.6650465944329292,-0.8289155501969065,2346
phase2,ideal,resqnet,20,4,cobyla,-0.9999938282132721,-0.9999938282132721,2100
phase2,ideal,resqnet,20,4,qnspsa,-0.25758521959176117,-0.8729971247554525,628
phase2,ideal,resqnet,20,8,cobyla,-0.9989211214485693,-0.9989211214485693,4200
phase2,ideal,resqnet,20,8,qnspsa,-0.5006402973208035,-0.7287077200847204,1200
phase2,ideal,resqnet,30,16,cobyla,-0.9997273502039628,-0.9997289201087896,8400
phase2,ideal,resqnet,30,16,qnspsa,-0.7690192925310174,-0.923751901368378,2346
phase2,ideal,resqnet,30,4,cobyla,-0.9999999950508541,-0.9999999991957615,863
phase2,ideal,resqnet,30,4,qnspsa,-0.5718902030333846,-0.9034921531559251,628
phase2,ideal,resqnet,30,8,cobyla,-0.9997688415087939,-0.9997688415087939,4200
