phase,mode,architecture,qubits,optimizer,n,final_mean,final_std,best_mean,best_std,evals_mean,evals_std
phase3,ideal,resqnet,16,nft,5,-0.9997284297498634,0.0003311424957847487,-0.999970102394161,1.789749106950397e-05,8400.0,0.0
phase3,shot-noise,baseline,4,nft,5,-0.9919191919191919,0.009896928253669416,-1.0,0.0,900.0,0.0
phase3,shot-noise,baseline,8,nft,5,-1.0,0.0,-1.0,0.0,2400.0,0.0
phase3,shot-noise,baseline,16,nft,5,-0.9838383838383837,0.015117807623329071,-1.0,0.0,6000.0,0.0
phase3,shot-noise,qcnn,4,nft,5,-1.0,0.0,-1.0,0.0,675.0,0.0
phase3,shot-noise,qcnn,8,nft,5,-1.0,0.0,-1.0,0.0,1762.0,0.0
phase3,shot-noise,qcnn,16,nft,5,-1.0,0.0,-1.0,0.0,4050.0,0.0
phase3,shot-noise,resqnet,4,nft,5,-0.5111111111111111,0.1597876358245268,-1.0,0.0,2100.0,0.0
phase3,shot-noise,resqnet,8,nft,5,-0.6606060606060606,0.25083067790171726,-1.0,0.0,4200.0,0.0
phase3,shot-noise,resqnet,16,nft,5,-0.9313131313131313,0.06464646464646462,-1.0,0.0,8400.0,0.0
