qubits,n_runs,nft_final_mean,nft_final_std,nft_evals_mean,nft_wins
4,5,-0.9999999999997407,5.198953631524896e-13,900.0,5
8,5,-0.9999998771991127,2.456017747731742e-07,2400.0,5
12,5,-0.9999999994334567,1.1330872684568086e-09,4500.0,5
16,5,-0.9999999419160239,1.1616794554081272e-07,6000.0,5
20,5,-0.9999999997734232,4.5314993979573646e-10,7500.0,5
