qubits,n_runs,cobyla_final_mean,cobyla_final_std,qnspsa_final_mean,qnspsa_final_std,cobyla_evals_mean,qnspsa_evals_mean,cobyla_wins,qnspsa_wins
4,5,-0.9999303305055222,0.00013903991816421893,-0.8847930592103003,0.06773282701701185,215.2,300.0,5,0
8,5,-0.9996692127406901,0.0003183928677000722,-0.9139034921446539,0.03483323556025054,552.2,711.0,5,0
12,5,-0.9997718662230028,0.00014900574181138198,-0.9514182886812513,0.026001942214726112,1378.6,1284.0,5,0
16,5,-0.999757489417823,0.0003512058430134686,-0.9646316438079824,0.025590682087232693,1607.8,1692.0,5,0
20,3,-0.9998862124769933,0.00015687147737959025,-0.9360521186345009,0.027508447245738876,1965.3333333333333,2100.0,3,0
