qubits,n_runs,cobyla_final_mean,cobyla_final_std,qnspsa_final_mean,qnspsa_final_std,cobyla_evals_mean,qnspsa_evals_mean,cobyla_wins,qnspsa_wins
4,5,-0.9191919191919192,0.055693126271071605,-0.8707070707070708,0.08627942021843486,207.0,300.0,3,2
8,5,-0.8787878787878787,0.13701676733586401,-0.9515151515151515,0.02740335346717278,527.2,711.0,3,2
12,5,-0.8828282828282829,0.07044685161277855,-0.8868686868686868,0.08339299975979916,1041.0,1284.0,3,2
16,5,-0.8626262626262626,0.07708599607409661,-0.78989898989899,0.11890051692575483,1418.4,1692.0,4,1
20,1,-0.9191919191919192,0.0,-0.7373737373737373,0.0,1694.0,2100.0,1,0
