qubits,n_runs,cobyla_final_mean,cobyla_final_std,qnspsa_final_mean,qnspsa_final_std,cobyla_evals_mean,qnspsa_evals_mean,cobyla_wins,qnspsa_wins
4,5,-0.9191919191919192,0.055693126271071605,-0.8505050505050505,0.124271163630139,207.0,300.0,3,2
8,5,-0.8787878787878787,0.13701676733586401,-0.9151515151515153,0.04848484848484849,527.2,711.0,3,2
12,5,-0.8828282828282829,0.07044685161277855,-0.9070707070707071,0.07938134426015556,1041.0,1284.0,1,3
16,5,-0.8626262626262626,0.07708599607409661,-0.8707070707070708,0.06832943242540508,1418.4,1692.0,2,3
20,5,-0.898989898989899,0.09034618090908242,-0.8787878787878787,0.046067693943399525,1793.8,2100.0,3,2
