seed,qubits,cobyla_final_cost,qnspsa_final_cost,cobyla_evals,qnspsa_evals,best_optimizer
10,4,-0.9797979797979798,-0.8383838383838383,183,300,cobyla
20,4,-0.9797979797979798,-0.898989898989899,213,300,cobyla
30,4,-0.9191919191919192,-0.9595959595959596,241,300,qnspsa
40,4,-0.8383838383838383,-0.6161616161616161,197,300,cobyla
50,4,-0.8787878787878788,-0.9393939393939394,201,300,qnspsa
10,8,-0.9595959595959596,-0.9191919191919192,493,711,cobyla
20,8,-1.0,-0.9191919191919192,535,711,cobyla
30,8,-0.9393939393939394,-1.0,548,711,qnspsa
40,8,-0.6161616161616161,-0.8787878787878788,544,711,qnspsa
50,8,-0.8787878787878788,-0.8585858585858586,516,711,cobyla
10,12,-0.8585858585858586,-0.7777777777777778,1065,1284,cobyla
20,12,-0.8585858585858586,-0.9595959595959596,1057,1284,qnspsa
30,12,-0.7777777777777778,-0.8585858585858586,1005,1284,qnspsa
40,12,-0.9393939393939394,-0.9393939393939394,1055,1284,qnspsa
50,12,-0.9797979797979798,-1.0,1023,1284,qnspsa
10,16,-0.7777777777777778,-0.797979797979798,1462,1692,qnspsa
20,16,-0.8585858585858586,-0.797979797979798,1417,1692,cobyla
30,16,-0.9595959595959596,-0.9797979797979798,1411,1692,qnspsa
40,16,-0.9393939393939394,-0.8787878787878788,1443,1692,cobyla
50,16,-0.7777777777777778,-0.898989898989899,1359,1692,qnspsa
10,20,-1.0,-0.9191919191919192,1690,2100,cobyla
20,20,-0.7575757575757576,-0.8383838383838383,1979,2100,qnspsa
30,20,-0.9797979797979798,-0.8787878787878788,1823,2100,cobyla
40,20,-0.8383838383838383,-0.9393939393939394,1783,2100,qnspsa
50,20,-0.9191919191919192,-0.8181818181818182,1694,2100,cobyla
