qubits,n_runs,cobyla_final_mean,cobyla_final_std,qnspsa_final_mean,qnspsa_final_std,cobyla_evals_mean,qnspsa_evals_mean,qnspsa_wins,cobyla_wins
4,5,-0.9995961554725274,0.00039630305041441725,-0.9198621913781594,0.06691772099341498,155.2,227.0,0,5
8,5,-0.9982635768902488,0.0007756536194727504,-0.8653844732205055,0.19965490316824241,288.2,227.0,0,5
12,5,-0.6265158479251652,0.283802348501721,-0.8574963102627609,0.07078603304209367,300.0,227.0,4,1
16,5,-0.7574174814534029,0.22212249113843172,-0.8693154406306214,0.07611324006676587,300.0,227.0,2,3
