seed,qubits,cobyla_final_cost,qnspsa_final_cost,cobyla_evals,qnspsa_evals,best_optimizer
10,4,-0.9999999711991134,-0.9541960422844078,194,300,cobyla
20,4,-0.9999999584839192,-0.9513267300550456,213,300,cobyla
30,4,-0.9999999861540636,-0.943846315499955,227,300,cobyla
40,4,-0.9999994857657654,-0.9717117102363781,212,300,cobyla
50,4,-0.999652250924749,-0.9339527253838493,230,300,cobyla
10,8,-0.9990802266342304,-0.9483470933323007,593,711,cobyla
20,8,-0.9998142163825098,-0.9701343381330357,413,711,cobyla
30,8,-0.9998695330830311,-0.9718272718873426,584,711,cobyla
40,8,-0.9999769544615535,-0.9804161309623156,592,711,cobyla
50,8,-0.9996051331421255,-0.967192075230233,579,711,cobyla
10,12,-0.9997554085704564,-0.804500327060387,1377,1284,cobyla
20,12,-0.9998230721310918,-0.8115983331307849,1490,1284,cobyla
30,12,-0.9995239390561188,-0.8977631659388462,1389,1284,cobyla
40,12,-0.9997690706890416,-0.9241140650268772,1275,1284,cobyla
50,12,-0.9999878406683059,-0.9791439195030008,1362,1284,cobyla
10,16,-0.999070145924784,-0.9340780144612099,1243,1692,cobyla
20,16,-0.9999990739441939,-0.9127737310322717,1677,1692,cobyla
30,16,-0.9998001433307441,-0.9524722938016729,1702,1692,cobyla
40,16,-0.9999212440508185,-0.9513512632480143,1861,1692,cobyla
50,16,-0.9999968398385751,-0.9768178333403028,1556,1692,cobyla
10,20,-0.9999493901995686,-0.9812395557953062,2346,2100,cobyla
20,20,-0.9996643750178011,-0.9757399127810817,1995,2100,cobyla
30,20,-0.9999951071272233,-0.979340150101436,2019,2100,cobyla
40,20,-0.9999991552859553,-0.9623508426146228,1882,2100,cobyla
50,20,-0.9998289323232726,-0.9630467795993634,2357,2100,cobyla
