qubits,n_runs,cobyla_final_mean,cobyla_final_std,qnspsa_final_mean,qnspsa_final_std,cobyla_evals_mean,qnspsa_evals_mean,cobyla_wins,qnspsa_wins
4,5,-0.9114071897560114,0.05346045910974815,0.972293704199155,0.016270565912301596,32.0,32.0,5,0
8,5,-0.8683513613443458,0.11701802000929003,0.9651419742133795,0.02568743817048246,64.0,64.0,5,0
16,5,-0.8689199023267076,0.07044421890097628,-0.8368334414293706,0.15719633572170472,256.0,126.0,2,3
32,3,0.11877306426176826,0.6990090310112178,nan,nan,348.0,nan,0,0
