qubits,n_runs,cobyla_final_mean,cobyla_final_std,qnspsa_final_mean,qnspsa_final_std,cobyla_evals_mean,qnspsa_evals_mean,cobyla_wins,qnspsa_wins
4,5,-0.5856379974866546,0.048039655680984464,0.714098380954806,0.08310299856725478,32.0,32.0,5,0
8,5,-0.17771316153688183,0.20410659009568616,0.898061629064344,0.03845638139712194,64.0,64.0,5,0
16,5,-0.18253811886477767,0.17467465102237995,-0.17650481843782545,0.13876366393502024,226.4,126.0,3,1
32,5,-0.2904022399900622,0.2910658133840944,nan,nan,939.0,nan,0,0
