seed,qubits,cobyla_final_cost,qnspsa_final_cost,cobyla_evals,qnspsa_evals,best_optimizer
10,4,-0.7437272671228654,0.9456381210367543,32,32,cobyla
20,4,-0.7301430685742477,0.9795112317946186,32,32,cobyla
10,8,-0.39728227300802965,0.995985919841907,64,64,cobyla
20,8,-0.7448292893745755,0.9753810082063306,64,64,cobyla
10,12,-0.7390072669047912,-0.06318647414537826,128,90,cobyla
20,12,-0.9104008867541105,0.1812807881773399,128,90,cobyla
10,16,-0.7819884636854183,-0.4683701314810221,256,126,cobyla
10,20,-0.8813140669383722,-0.6889810060013611,512,195,cobyla
