qubits,n_runs,cobyla_final_mean,cobyla_final_std,qnspsa_final_mean,qnspsa_final_std,cobyla_evals_mean,qnspsa_evals_mean,cobyla_wins,qnspsa_wins
4,2,-0.7369351678485565,0.006792099274308849,0.9625746764156864,0.016936555378932183,32.0,32.0,2,0
8,2,-0.5710557811913026,0.17377350818327292,0.9856834640241188,0.010302455817788214,64.0,64.0,2,0
12,2,-0.8247040768294509,0.08569680992465961,0.05904715701598082,0.12223363116135907,128.0,90.0,2,0
16,1,-0.7819884636854183,0.0,-0.4683701314810221,0.0,256.0,126.0,1,0
20,1,-0.8813140669383722,0.0,-0.6889810060013611,0.0,512.0,195.0,1,0
