qubits,n_runs,cobyla_final_mean,cobyla_final_std,qnspsa_final_mean,qnspsa_final_std,cobyla_evals_mean,qnspsa_evals_mean,cobyla_wins,qnspsa_wins
4,5,-0.9999993058518383,1.3834433529427005e-06,-0.9629452978171491,0.03816421399693285,391.8,300.0,5,0
8,5,-0.9999955179432322,7.3708462096176785e-06,-0.9515724103394122,0.04444360240955098,1959.6,711.0,5,0
12,5,-0.9999949259968289,7.195214443263354e-06,-0.9728727067672471,0.010409651552074581,4084.4,1284.0,5,0
16,5,-0.999999262486047,1.4499201984423688e-06,-0.9537913451710059,0.022496595001875976,4522.2,1692.0,5,0
