qubits,n_runs,cobyla_final_mean,cobyla_final_std,qnspsa_final_mean,qnspsa_final_std,cobyla_evals_mean,qnspsa_evals_mean,cobyla_wins,qnspsa_wins
4,5,-0.9191919191919192,0.055693126271071605,-0.8343434343434344,0.09423760638133817,207.0,300.0,4,1
8,5,-0.8787878787878787,0.13701676733586401,-0.9151515151515153,0.0449920352551921,527.2,711.0,3,2
12,5,-0.8828282828282829,0.07044685161277855,-0.8949494949494949,0.053296589730395645,1041.0,1284.0,3,2
16,5,-0.8626262626262626,0.07708599607409661,-0.7575757575757576,0.2299838298304276,1418.4,1692.0,3,2
20,5,-0.898989898989899,0.09034618090908242,-0.9111111111111111,0.03282439759448873,1793.8,2100.0,3,2
