seed,qubits,cobyla_final_cost,qnspsa_final_cost,cobyla_evals,qnspsa_evals,best_optimizer
10,4,-1.0,-0.9797979797979798,146,240,cobyla
20,4,-1.0,-1.0,128,240,qnspsa
30,4,-1.0,-0.898989898989899,168,240,cobyla
40,4,-0.9595959595959596,-0.9797979797979798,161,240,qnspsa
50,4,-0.8787878787878788,-0.9797979797979798,131,240,qnspsa
10,8,-1.0,-0.9595959595959596,394,537,cobyla
20,8,-1.0,-0.9797979797979798,418,537,cobyla
30,8,0.6363636363636364,-0.9797979797979798,354,537,qnspsa
40,8,-0.9595959595959596,-0.9797979797979798,407,537,qnspsa
50,8,-0.9797979797979798,-0.9191919191919192,404,537,cobyla
10,16,-1.0,-1.0,401,1161,qnspsa
20,16,0.47474747474747475,-1.0,759,1161,qnspsa
30,16,-0.9393939393939394,-0.9797979797979798,963,1161,qnspsa
40,16,-1.0,-0.9797979797979798,328,1161,cobyla
50,16,0.7373737373737373,-1.0,821,1161,qnspsa
