qubits,n_runs,cobyla_final_mean,cobyla_final_std,qnspsa_final_mean,qnspsa_final_std,cobyla_evals_mean,qnspsa_evals_mean,cobyla_wins,qnspsa_wins
4,5,-0.7252785565049777,0.2199359406316528,0.9308999528291657,0.03242222377154903,32.0,32.0,5,0
8,5,-0.45076907888102,0.2128966067045948,0.9761139206299759,0.01850433001368012,64.0,64.0,5,0
12,5,-0.6680324349307323,0.17395983445696475,0.584071853485802,0.3527790664357978,128.0,90.0,5,0
16,3,-0.8594126787833797,0.06828452183221348,-0.4765242548336113,0.07457567157629148,256.0,126.0,3,0
20,2,-0.6649678322188151,0.11440464370538511,0.08908146872325379,0.8530283614490533,512.0,108.0,2,0
