qubits,n_runs,cobyla_final_mean,cobyla_final_std,qnspsa_final_mean,qnspsa_final_std,cobyla_evals_mean,qnspsa_evals_mean,cobyla_wins,qnspsa_wins
4,5,-0.7057653647603724,0.2080491641524839,0.9235433203573846,0.02681267134516317,32.0,32.0,5,0
8,5,-0.46382250296689903,0.19337281227250272,0.9775414909012096,0.01928192133743399,64.0,64.0,5,0
12,5,-0.6862027948036786,0.14798849642281917,0.5940102655354456,0.35943745258013743,128.0,90.0,5,0
16,5,-0.6499353827744219,0.3722974085720948,-0.5063451023459237,0.08269822810888344,219.8,126.0,4,0
20,4,-0.7648522016731751,0.12999322126626475,0.3777364590249969,0.8073093152419976,501.5,77.0,3,0
32,1,-0.6143175625464454,0.0,nan,nan,851.0,nan,0,0
