seed,qubits,cobyla_final_cost,qnspsa_final_cost,cobyla_evals,qnspsa_evals,best_optimizer
10,4,-0.9999999966306607,-0.9911113980221123,177,240,cobyla
20,4,-0.9999999953423206,-0.9911085103519075,173,240,cobyla
30,4,-0.9999999984850341,-0.9911262725598513,200,240,cobyla
40,4,-0.9999999995256559,-0.9923159632318719,161,240,cobyla
50,4,-0.9999999970798689,-0.990899184464775,167,240,cobyla
10,8,-0.9999999954039677,-0.9927784995874959,622,537,cobyla
20,8,-0.9999999962994658,-0.9927785001468039,498,537,cobyla
30,8,-0.9999999973612125,-0.9927784999034647,454,537,cobyla
40,8,-0.9999999971665885,-0.9927784984597434,486,537,cobyla
50,8,-0.9999999955326585,-0.9927785010653623,474,537,cobyla
10,16,-0.9999999983488232,-0.9939224220485734,1143,1161,cobyla
20,16,-0.9999999986069217,-0.9939224267276994,1321,1161,cobyla
30,16,-0.9999999952855012,-0.9939224216263292,1116,1161,cobyla
40,16,-0.9999999978820232,-0.9939224231402827,1219,1161,cobyla
50,16,-0.999999997454064,-0.9939224236527783,1202,1161,cobyla
